2018-01-17 14:43:48 INFO  HomePage:47 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 14:43:48 INFO  HomePage:56 - Sign outSign out
2018-01-17 14:43:48 INFO  TC002_VerifyLoginWithValidCredentials:30 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 14:50:08 INFO  TC002_VerifyLoginWithValidCredentials:32 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 14:50:09 INFO  HomePage:41 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (61decc260b956f9c73c055854b33f953)] -> xpath: //a[@class='login']]
2018-01-17 14:50:10 INFO  HomePage:43 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (61decc260b956f9c73c055854b33f953)] -> id: email]
2018-01-17 14:50:10 INFO  HomePage:45 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (61decc260b956f9c73c055854b33f953)] -> id: passwd]
2018-01-17 14:50:41 INFO  HomePage:47 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 14:50:41 INFO  HomePage:56 - Sign outSign out
2018-01-17 14:50:41 INFO  TC002_VerifyLoginWithValidCredentials:37 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 16:06:54 INFO  TC003_VerifyLoginWithDifferentRecords:34 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 16:06:55 INFO  HomePage:43 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (37e4324e46914d5997e50f2c2ac9f840)] -> xpath: //a[@class='login']]
2018-01-17 16:06:55 INFO  HomePage:45 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (37e4324e46914d5997e50f2c2ac9f840)] -> id: email]
2018-01-17 16:06:55 INFO  HomePage:47 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (37e4324e46914d5997e50f2c2ac9f840)] -> id: passwd]
2018-01-17 16:07:27 INFO  HomePage:49 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 16:07:27 INFO  HomePage:59 - Sign outSign out
2018-01-17 16:07:27 INFO  TC003_VerifyLoginWithDifferentRecords:39 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 16:11:14 INFO  TC003_VerifyLoginWithDifferentRecords:34 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 16:11:15 INFO  HomePage:43 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (3e9904799249c8781dad9e21e3895a15)] -> xpath: //a[@class='login']]
2018-01-17 16:11:15 INFO  HomePage:45 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (3e9904799249c8781dad9e21e3895a15)] -> id: email]
2018-01-17 16:11:15 INFO  HomePage:47 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (3e9904799249c8781dad9e21e3895a15)] -> id: passwd]
2018-01-17 16:11:46 INFO  HomePage:49 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 16:11:47 INFO  HomePage:59 - Sign outSign out
2018-01-17 16:11:47 INFO  TC003_VerifyLoginWithDifferentRecords:39 - --------------- Finished verifyLoginWithValidCredentials -----------------
2018-01-17 17:26:24 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:26:25 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (555411d3147b4b0a2d34ab9eeec1105b)] -> xpath: //a[@class='login']]
2018-01-17 17:26:25 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (555411d3147b4b0a2d34ab9eeec1105b)] -> id: email]
2018-01-17 17:26:25 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (555411d3147b4b0a2d34ab9eeec1105b)] -> id: passwd]
2018-01-17 17:26:57 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 17:26:57 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:27:27 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:27:57 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:28:27 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:30:54 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:30:55 INFO  HomePage:45 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (71d75dd046940cc8edc34d9fabbde660)] -> xpath: //a[@class='login']]
2018-01-17 17:30:55 INFO  HomePage:47 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (71d75dd046940cc8edc34d9fabbde660)] -> id: email]
2018-01-17 17:30:55 INFO  HomePage:49 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (71d75dd046940cc8edc34d9fabbde660)] -> id: passwd]
2018-01-17 17:31:26 INFO  HomePage:51 - Clicked on LogIn Buton and the boject is - Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='SubmitLogin']'
2018-01-17 17:31:26 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
2018-01-17 17:31:57 INFO  TC003_VerifyLoginWithDifferentRecords:43 - --------------- Staring verifyLoginWithValidCredentials -----------------
